datetime,I_setpoint[A],LOAD[on/off],V[V],I_meas[A],H2_flow[ln/min]
2023-10-18 17:28:22,48.000000,0.000000,0.000000,0.000000,10.717378
2023-10-18 17:28:23,48.000000,0.000000,1.623250,0.000000,5.851800
2023-10-18 17:28:23,48.000000,0.000000,0.000000,0.000000,0.441093
2023-10-18 17:28:24,48.000000,0.000000,0.000000,0.000000,0.000000
2023-10-18 17:28:24,48.000000,0.000000,0.000000,0.000000,0.000000
2023-10-18 17:28:25,48.000000,0.000000,0.000000,0.000000,0.000000
2023-10-18 17:28:25,48.000000,0.000000,0.000000,0.000000,0.000000
2023-10-18 17:28:26,48.000000,0.000000,0.000000,0.000000,0.000000
2023-10-18 17:28:26,48.000000,0.000000,0.000000,0.000000,0.000000
2023-10-18 17:28:27,48.000000,0.000000,0.000000,0.000000,0.000000
2023-10-18 17:28:27,48.000000,0.000000,0.000000,0.000000,25.772169
2023-10-18 17:28:28,48.000000,0.000000,0.000000,0.000000,3.509981
2023-10-18 17:28:28,48.000000,0.000000,0.000000,0.000000,0.028137
2023-10-18 17:28:29,48.000000,0.000000,0.000000,0.000000,0.000000
2023-10-18 17:28:29,48.000000,0.000000,0.000000,0.000000,0.000000
2023-10-18 17:28:30,48.000000,0.000000,0.000000,0.000000,0.000000
2023-10-18 17:28:30,48.000000,0.000000,0.000000,0.000000,0.000000
2023-10-18 17:28:31,48.000000,0.000000,0.000000,0.000000,0.000000
2023-10-18 17:28:31,48.000000,0.000000,0.000000,0.000000,0.000000
2023-10-18 17:28:32,48.000000,0.000000,0.000000,0.000000,0.000000
2023-10-18 17:28:32,48.000000,0.000000,0.000000,0.000000,10.562553
2023-10-18 17:28:33,48.000000,0.000000,21.901300,0.000000,9.348913
2023-10-18 17:28:33,48.000000,0.000000,0.061839,0.000000,1.232853
2023-10-18 17:28:34,48.000000,0.000000,0.000000,0.000000,0.000000
2023-10-18 17:28:34,48.000000,0.000000,0.000000,0.000000,0.000000
2023-10-18 17:28:35,48.000000,0.000000,0.000000,0.000000,0.000000
2023-10-18 17:28:35,48.000000,0.000000,0.000000,0.000000,0.000000
2023-10-18 17:28:36,48.000000,0.000000,0.000000,0.000000,0.000000
2023-10-18 17:28:36,48.000000,0.000000,0.000000,0.000000,0.000000
2023-10-18 17:28:37,48.000000,0.000000,0.000000,0.000000,0.000000
2023-10-18 17:28:37,48.000000,0.000000,0.000000,0.000000,18.932653
2023-10-18 17:28:38,48.000000,0.000000,0.000000,0.000000,4.779787
2023-10-18 17:28:38,48.000000,0.000000,0.000000,0.000000,0.055141
2023-10-18 17:28:39,48.000000,0.000000,0.000000,0.000000,0.000000
2023-10-18 17:28:39,48.000000,0.000000,0.000000,0.000000,0.000000
2023-10-18 17:28:40,48.000000,0.000000,0.000000,0.000000,0.000000
2023-10-18 17:28:40,48.000000,0.000000,0.000000,0.000000,0.000000
2023-10-18 17:28:41,48.000000,0.000000,0.000000,0.000000,0.000000
2023-10-18 17:28:41,48.000000,0.000000,0.000000,0.000000,0.000000
2023-10-18 17:28:42,48.000000,0.000000,0.000000,0.000000,0.000000
2023-10-18 17:28:42,48.000000,0.000000,0.000000,0.000000,10.821737
2023-10-18 17:28:43,48.000000,0.000000,0.000000,0.000000,7.764475
2023-10-18 17:28:43,48.000000,0.000000,0.149973,0.000000,0.797493
2023-10-18 17:28:44,48.000000,0.000000,0.000000,0.000000,0.000000
2023-10-18 17:28:44,48.000000,0.000000,0.000000,0.000000,0.000000
2023-10-18 17:28:45,48.000000,0.000000,0.000000,0.000000,0.000000
2023-10-18 17:28:45,48.000000,0.000000,0.000000,0.000000,0.000000
2023-10-18 17:28:46,48.000000,0.000000,0.000000,0.000000,0.000000
2023-10-18 17:28:46,48.000000,0.000000,0.000000,0.000000,0.000000
2023-10-18 17:28:47,48.000000,0.000000,0.000000,0.000000,0.000000
2023-10-18 17:28:47,48.000000,0.000000,0.000000,0.000000,22.853739
2023-10-18 17:28:48,48.000000,0.000000,0.000000,0.000000,6.503664
2023-10-18 17:28:48,48.000000,0.000000,0.000000,0.000000,0.086922
2023-10-18 17:28:49,48.000000,0.000000,0.000000,0.000000,0.000000
2023-10-18 17:28:49,48.000000,0.000000,0.000000,0.000000,0.000000
2023-10-18 17:28:50,48.000000,0.000000,0.000000,0.000000,0.000000
2023-10-18 17:28:50,48.000000,0.000000,0.000000,0.000000,0.000000
2023-10-18 17:28:51,48.000000,0.000000,0.000000,0.000000,0.000000
2023-10-18 17:28:51,48.000000,0.000000,0.000000,0.000000,0.000000
2023-10-18 17:28:52,48.000000,0.000000,0.000000,0.000000,0.000000
2023-10-18 17:28:52,48.000000,0.000000,0.000000,0.000000,10.105719
2023-10-18 17:28:53,48.000000,0.000000,0.000000,0.000000,10.372741
2023-10-18 17:28:53,48.000000,0.000000,3.009660,0.000000,1.685202
2023-10-18 17:28:54,48.000000,0.000000,0.000000,0.000000,0.000000
2023-10-18 17:28:54,48.000000,0.000000,0.000000,0.000000,0.000000
2023-10-18 17:28:55,48.000000,0.000000,0.000000,0.000000,0.000000
2023-10-18 17:28:55,48.000000,0.000000,0.000000,0.000000,0.000000
2023-10-18 17:28:56,48.000000,0.000000,0.000000,0.000000,0.000000
2023-10-18 17:28:56,48.000000,0.000000,0.000000,0.000000,0.000000
2023-10-18 17:28:57,48.000000,0.000000,0.000000,0.000000,0.000000
2023-10-18 17:28:57,48.000000,0.000000,0.000000,0.000000,7.302135
2023-10-18 17:28:58,48.000000,0.000000,0.000000,0.000000,18.401232
